2020-07-02 02:26:33,b'#mixtape lan Lou\xf0\x9f\x94\x8a\xf0\x9f\x94\x8a\xf0\x9f\x94\x8a\n#rap #Haiti #HaitianTwitter #france #usa https://t.co/eRuUsqlP8f'
2020-07-02 02:24:52,b'#NOWPLAYING : Ludacris - Call Ya Bluff  \nCLICK TO LISTEN \xe2\x9e\xa1\xef\xb8\x8f  https://t.co/32Yg5Gtz6L    \n#beatstrike #hhm #hiphop\xe2\x80\xa6 https://t.co/DjNqgXobQw'
2020-07-02 02:24:29,"b'RT @spotonrecords: hip-hop vibe track, refers to Tupacs influence in young black men and the come up in a snake filled industry\n\nhttps://t.\xe2\x80\xa6'"
2020-07-02 02:24:16,b'\xe2\x80\x98Lord - Plourde Freestyle World Wide G Harmonic Minor\xe2\x80\x99 on #SoundCloud #np https://t.co/oONdvT6HvT  #rap #raps\xe2\x80\xa6 https://t.co/HwhvBHM2ka'
2020-07-02 02:23:59,b'RT @MitchSoFly: \xf0\x9f\xa5\x80 Young Guapo \xf0\x9f\xa5\x80is out now on all platforms!\n\nhttps://t.co/Dz19TxD1BB\n\n#rap #hiphop #mexicanrapper #vegas #newmusic #spotify\xe2\x80\xa6'
2020-07-02 02:23:05,b'RT @callmejaysos: Chillin with @Karma92516 settin up his studio. #rap #hiphop #collab #newmusicsoon https://t.co/Pu43BVLexI'
2020-07-02 02:22:48,b'Third Eye\xf0\x9f\x91\x81\xef\xb8\x8f\xf0\x9f\x91\x81\xef\xb8\x8f\xf0\x9f\x91\x81\xef\xb8\x8f prod @the1djmvp\n.....\n.....\n.....\n\xf0\x9f\x8e\xa7\xf0\x9f\x8e\xa7 for better audio xxperience\n.....\n.....\n.....\n.....\n.....\xe2\x80\xa6 https://t.co/iA8LSwZqqQ'
2020-07-02 02:22:45,b'RT @lilbluntsmoker: album mode in full swing \xe2\x9c\xa8\xf0\x9f\x95\xba\xf0\x9f\x8f\xbd #sharkblunts #lilblunt #rapgamebojackson #inthelab #trusttheprocess #music #bars #rhymes #\xe2\x80\xa6'
2020-07-02 02:22:41,b'RT @NickParadis9: Okaaaaay\n#offthetop #bars #hiphop #freestyle #fun #energy #forward #motion #groove #jam #rap #music #love #spirit #flow #\xe2\x80\xa6'
2020-07-02 02:21:14,b'RT @Rek_Rucci: 69 Is Fuckin Trash \xf0\x9f\x97\x91... I Don\xe2\x80\x99t See How People Listen To The Bullshit... What Happen To Real Rap #rap #HipHopMusic #real'
2020-07-02 02:20:40,b'CLICK THE LINK IN MY BIO PWEASE \xf0\x9f\xa5\xba\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#rappers #rap #hiphop #rapper #music #rapmusic #beats #hiphopmusic #artist\xe2\x80\xa6 https://t.co/aOUgl1ceFc'
2020-07-02 02:20:13,b'So long to my old life of selling crack in the streets it\xe2\x80\x99s all music from here on out #Wauriceforever \xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x81\xa3\n.\xe2\x80\xa6 https://t.co/Zj8uCIJuYo'
2020-07-02 02:19:43,b'RT @lilbluntsmoker: album mode in full swing \xe2\x9c\xa8\xf0\x9f\x95\xba\xf0\x9f\x8f\xbd #sharkblunts #lilblunt #rapgamebojackson #inthelab #trusttheprocess #music #bars #rhymes #\xe2\x80\xa6'
2020-07-02 02:19:36,b'Take a listen! https://t.co/55gwJhlhOQ    #SoundCloud #soundcloudrapper #NewArtists #soundcloudartist #newmusic\xe2\x80\xa6 https://t.co/eB9uEHSlI2'
2020-07-02 02:18:48,b'69 Is Fuckin Trash \xf0\x9f\x97\x91... I Don\xe2\x80\x99t See How People Listen To The Bullshit... What Happen To Real Rap #rap #HipHopMusic #real'
2020-07-02 02:18:42,b'album mode in full swing \xe2\x9c\xa8\xf0\x9f\x95\xba\xf0\x9f\x8f\xbd #sharkblunts #lilblunt #rapgamebojackson #inthelab #trusttheprocess #music #bars\xe2\x80\xa6 https://t.co/E0kfaq22sW'
2020-07-02 02:18:39,b'RT @Photogroupieuk: New music from #emmy award winning artist #jabee #prayinghands @mynameisJabee @TeamJabee Jabee \nhttps://t.co/mXkRnJsoQQ\xe2\x80\xa6'
2020-07-02 02:17:44,b'Okaaaaay\n#offthetop #bars #hiphop #freestyle #fun #energy #forward #motion #groove #jam #rap #music #love #spirit\xe2\x80\xa6 https://t.co/2IM3qcj3Ow'
2020-07-02 02:17:42,b'RT @OfficialNorse: #NewMusicAlert \xf0\x9f\x92\xa5 check it out new feature \xf0\x9f\x91\x87#acab #SoundCloud #rapper #NewMusicFriday #Rap #sadboy\nhttps://t.co/nxkN5QEG7P'
2020-07-02 02:17:29,b'RT @FolksChili: Preview of my New Song \xe2\x80\x9c like that \xe2\x80\x9c lmk what y\xe2\x80\x99all think.... \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 \xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#music #artist #rap #raplife #rapmusic #\xe2\x80\xa6'
2020-07-02 02:16:58,b'RT @Gabby_SarkCess: Mad Verse from @StrongmanBurner \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 #Rap  \nhttps://t.co/wY843jLqkj https://t.co/NaUN2koW0i'
2020-07-02 02:16:07,b'Who want a #dropbox link of beats ? #beats #studio #recording #rap'
